Entry: 2025-07-04 10:34:00, Exit: 2025-07-04 11:04:00, Entry Level: 57101.60, Exit Level: 57168.00, Reason: fixed_tp, Result: WIN, P/L: 66.40
Entry: 2025-07-04 10:35:00, Exit: 2025-07-04 11:04:00, Entry Level: 57108.60, Exit Level: 57168.00, Reason: fixed_tp, Result: WIN, P/L: 59.40
Entry: 2025-07-04 10:54:00, Exit: 2025-07-04 11:41:00, Entry Level: 57149.00, Exit Level: 56987.20, Reason: fixed_sl, Result: LOSS, P/L: -161.80
Entry: 2025-07-04 10:39:00, Exit: 2025-07-04 11:42:00, Entry Level: 57142.00, Exit Level: 56980.00, Reason: fixed_sl, Result: LOSS, P/L: -162.00
Entry: 2025-07-04 10:40:00, Exit: 2025-07-04 11:42:00, Entry Level: 57141.20, Exit Level: 56980.00, Reason: fixed_sl, Result: LOSS, P/L: -161.20
Entry: 2025-07-04 10:45:00, Exit: 2025-07-04 11:42:00, Entry Level: 57145.80, Exit Level: 56980.00, Reason: fixed_sl, Result: LOSS, P/L: -165.80
Entry: 2025-07-04 10:56:00, Exit: 2025-07-04 11:42:00, Entry Level: 57140.00, Exit Level: 56980.00, Reason: fixed_sl, Result: LOSS, P/L: -160.00
Entry: 2025-07-04 10:57:00, Exit: 2025-07-04 11:42:00, Entry Level: 57144.80, Exit Level: 56980.00, Reason: fixed_sl, Result: LOSS, P/L: -164.80
Entry: 2025-07-04 10:59:00, Exit: 2025-07-04 11:42:00, Entry Level: 57143.00, Exit Level: 56980.00, Reason: fixed_sl, Result: LOSS, P/L: -163.00
Entry: 2025-07-04 10:41:00, Exit: 2025-07-04 11:43:00, Entry Level: 57132.00, Exit Level: 57001.40, Reason: conf_short_exit, Result: LOSS, P/L: -130.60
Entry: 2025-07-04 10:42:00, Exit: 2025-07-04 11:43:00, Entry Level: 57133.80, Exit Level: 57001.40, Reason: conf_short_exit, Result: LOSS, P/L: -132.40
