timestamp,open,high,low,close,volume,oi,symbol,date
2025-06-16T09:15:00,55550.0,55760.0,55550.0,55689.2,14850,1955670,BANKNIFTY25JUNFUT,2025-06-16
2025-06-16T09:16:00,55680.4,55706.4,55635.2,55666.0,11820,1955670,BANKNIFTY25JUNFUT,2025-06-16
2025-06-16T09:17:00,55675.0,55714.8,55660.0,55700.0,7800,1955670,BANKNIFTY25JUNFUT,2025-06-16
2025-06-16T09:18:00,55705.8,55719.0,55680.2,55690.0,7860,1963290,BANKNIFTY25JUNFUT,2025-06-16
2025-06-16T09:19:00,55694.4,55694.4,55635.2,55653.2,12690,1963290,BANKNIFTY25JUNFUT,2025-06-16
2025-06-16T09:20:00,55652.6,55663.6,55615.0,55661.4,4530,1963290,BANKNIFTY25JUNFUT,2025-06-16
2025-06-16T09:21:00,55660.0,55700.4,55655.2,55700.4,6150,1977360,BANKNIFTY25JUNFUT,2025-06-16
2025-06-16T09:22:00,55693.2,55704.8,55655.0,55655.0,7440,1977360,BANKNIFTY25JUNFUT,2025-06-16
2025-06-16T09:23:00,55650.0,55652.8,55619.6,55622.0,4410,1977360,BANKNIFTY25JUNFUT,2025-06-16
2025-06-16T09:24:00,55622.0,55648.0,55620.0,55630.0,5220,1983450,BANKNIFTY25JUNFUT,2025-06-16
2025-06-16T09:25:00,55641.0,55646.4,55616.8,55640.2,4980,1983450,BANKNIFTY25JUNFUT,2025-06-16
2025-06-16T09:26:00,55644.8,55650.0,55632.0,55641.6,3330,1983450,BANKNIFTY25JUNFUT,2025-06-16
2025-06-16T09:27:00,55632.4,55680.0,55632.4,55659.6,3240,1987380,BANKNIFTY25JUNFUT,2025-06-16
2025-06-16T09:28:00,55650.0,55660.0,55645.2,55650.2,1290,1987380,BANKNIFTY25JUNFUT,2025-06-16
2025-06-16T09:29:00,55651.0,55659.0,55580.4,55595.6,8700,1987380,BANKNIFTY25JUNFUT,2025-06-16
