Entry: 2025-07-14 11:52:00, Exit: 2025-07-14 12:20:00, Direction: LONG, Entry Price: 56830.4, Exit Price: 56892.2, Exit Reason: fixed_tp, Result: WIN, P/L: 61.799999999995634
Entry: 2025-07-14 11:56:00, Exit: 2025-07-14 12:20:00, Direction: LONG, Entry Price: 56831.0, Exit Price: 56892.2, Exit Reason: fixed_tp, Result: WIN, P/L: 61.19999999999709
Entry: 2025-07-14 11:27:00, Exit: 2025-07-14 12:40:00, Direction: LONG, Entry Price: 56842.4, Exit Price: 56896.8, Exit Reason: fixed_tp, Result: WIN, P/L: 54.400000000001455
Entry: 2025-07-14 11:51:00, Exit: 2025-07-14 12:40:00, Direction: LONG, Entry Price: 56842.8, Exit Price: 56896.8, Exit Reason: fixed_tp, Result: WIN, P/L: 54.0
Entry: 2025-07-14 11:22:00, Exit: 2025-07-14 12:52:00, Direction: LONG, Entry Price: 56851.8, Exit Price: 56905.0, Exit Reason: fixed_tp, Result: WIN, P/L: 53.19999999999709
Entry: 2025-07-14 11:21:00, Exit: 2025-07-14 13:00:00, Direction: LONG, Entry Price: 56856.0, Exit Price: 56910.0, Exit Reason: fixed_tp, Result: WIN, P/L: 54.0
Entry: 2025-07-14 11:23:00, Exit: 2025-07-14 13:00:00, Direction: LONG, Entry Price: 56860.0, Exit Price: 56910.0, Exit Reason: fixed_tp, Result: WIN, P/L: 50.0
Entry: 2025-07-14 13:57:00, Exit: 2025-07-14 14:19:00, Direction: LONG, Entry Price: 56811.0, Exit Price: 56868.8, Exit Reason: fixed_tp, Result: WIN, P/L: 57.80000000000291
Entry: 2025-07-14 13:58:00, Exit: 2025-07-14 14:19:00, Direction: LONG, Entry Price: 56811.0, Exit Price: 56868.8, Exit Reason: fixed_tp, Result: WIN, P/L: 57.80000000000291
Entry: 2025-07-14 10:39:00, Exit: 2025-07-14 14:28:00, Direction: LONG, Entry Price: 56944.0, Exit Price: 56865.6, Exit Reason: final_close, Result: LOSS, P/L: -78.40000000000146
Entry: 2025-07-14 10:40:00, Exit: 2025-07-14 14:28:00, Direction: LONG, Entry Price: 56936.0, Exit Price: 56865.6, Exit Reason: final_close, Result: LOSS, P/L: -70.40000000000146
Entry: 2025-07-14 10:46:00, Exit: 2025-07-14 14:28:00, Direction: LONG, Entry Price: 56943.0, Exit Price: 56865.6, Exit Reason: final_close, Result: LOSS, P/L: -77.40000000000146
Entry: 2025-07-14 10:47:00, Exit: 2025-07-14 14:28:00, Direction: LONG, Entry Price: 56924.8, Exit Price: 56865.6, Exit Reason: final_close, Result: LOSS, P/L: -59.200000000004366
Entry: 2025-07-14 10:51:00, Exit: 2025-07-14 14:28:00, Direction: LONG, Entry Price: 56910.0, Exit Price: 56865.6, Exit Reason: final_close, Result: LOSS, P/L: -44.400000000001455
Entry: 2025-07-14 10:52:00, Exit: 2025-07-14 14:28:00, Direction: LONG, Entry Price: 56912.0, Exit Price: 56865.6, Exit Reason: final_close, Result: LOSS, P/L: -46.400000000001455
Entry: 2025-07-14 10:53:00, Exit: 2025-07-14 14:28:00, Direction: LONG, Entry Price: 56914.2, Exit Price: 56865.6, Exit Reason: final_close, Result: LOSS, P/L: -48.599999999998545
Entry: 2025-07-14 10:54:00, Exit: 2025-07-14 14:28:00, Direction: LONG, Entry Price: 56902.2, Exit Price: 56865.6, Exit Reason: final_close, Result: LOSS, P/L: -36.599999999998545
Entry: 2025-07-14 10:55:00, Exit: 2025-07-14 14:28:00, Direction: LONG, Entry Price: 56912.0, Exit Price: 56865.6, Exit Reason: final_close, Result: LOSS, P/L: -46.400000000001455
Entry: 2025-07-14 10:59:00, Exit: 2025-07-14 14:28:00, Direction: LONG, Entry Price: 56895.2, Exit Price: 56865.6, Exit Reason: final_close, Result: LOSS, P/L: -29.599999999998545
Entry: 2025-07-14 11:00:00, Exit: 2025-07-14 14:28:00, Direction: LONG, Entry Price: 56890.0, Exit Price: 56865.6, Exit Reason: final_close, Result: LOSS, P/L: -24.400000000001455
Entry: 2025-07-14 11:18:00, Exit: 2025-07-14 14:28:00, Direction: LONG, Entry Price: 56872.0, Exit Price: 56865.6, Exit Reason: final_close, Result: LOSS, P/L: -6.400000000001455
